,Title,Writer(s),Date,Link
1756,"From 'Thrones' to 'Gong Show': New and returning favorites also include ""Orphan Black,"" ""Suits,"" and ""Claws.""","Gray, Ellen. 
",2017-06-11,proquest.com/docview/1908599686/fulltext/D77B424905F94FD3PQ/49
1757,A denial of misuse: Many with an opioid problem don't think they have an opioid problem.,"Sapatkin, Don. 
",2017-06-12,proquest.com/docview/1908599847/fulltext/C05657EDBB1E4567PQ/5
1758,"Wolf's chances for second term good, for now","John Baer POLITICAL. 
",2017-06-12,proquest.com/docview/1908599469/fulltext/C05657EDBB1E4567PQ/9
1759,"Mayor: 'Text-to-give,' don't hand out cash","Nadolny, Tricia L. 
",2017-06-13,proquest.com/docview/1909030742/fulltext/13FBD1727A204028PQ/18
1760,"AT LAST, A DEAL: ""This announcement is long overdue,"" Kenney said. The city and Conrail will tackle Kensington's squalid heroin gulch this summer.","Wood, Sam; Farr, Stephanie. 
",2017-06-16,proquest.com/docview/1910422672/fulltext/EF28B025339448FCPQ/2
1761,"Wide race disparity in N.J. pot arrests: Blacks are arrested 3 times as often as whites, the ACLU says. In rural and suburban areas, the disparity is especially large.","Hefler, Jan. 
",2017-06-16,proquest.com/docview/1910422764/fulltext/EF28B025339448FCPQ/18
1762,Medical growers seek pot permits: Medicinal cannabis will be available in Pa. in 2018.,"Wood, Sam. 
",2017-06-17,proquest.com/docview/1910996445/fulltext/74C0FF544A4B43D1PQ/6
1763,'Sham' N.J. firm fights used-car regulations: New Jersey Dealers Auto Mall and its lobbyist propose revised laws that would weaken already limited consumer protections. TROUBLE AT THE WHEEL?,"Seidman, Andrew. 
",2017-06-18,proquest.com/docview/1910996277/fulltext/987112CFF7A74DD3PQ/1
1764,"TAKING BACK THEIR PARK: With stepped-up police patrols, drug-besieged area quiet, for now","Newall, Mike. 
",2017-06-18,proquest.com/docview/1910996249/fulltext/987112CFF7A74DD3PQ/15
1765,'Sham' firm fights N.J. car rules,"Seidman, Andrew. 
",2017-06-18,proquest.com/docview/1910996348/fulltext/987112CFF7A74DD3PQ/20
1766,BITTERNESS BREWING: The rapid change in the neighborhood - as reflected in the mix of stores on Girard Avenue - was a component in a recent brawl.,"Terruso, Julia. 
",2017-06-20,proquest.com/docview/1911354723/fulltext/7492CFE506854E24PQ/1
1767,Pa. grants first 12 grower permits: Pioneer recipients include prominent political and financial figures. No growth sites are in Philadelphia.,"Wood, Sam; Couloumbis, Angela. 
",2017-06-21,proquest.com/docview/1911979343/fulltext/1A119A2C02B34E54PQ/3
1768,"Secrecy on pot growers: The state did not divulge who made the selections, or name unsuccessful applicants.","Couloumbis, Angela. 
",2017-06-21,proquest.com/docview/1911979442/fulltext/1A119A2C02B34E54PQ/26
1769,Ultra-potent drug's use seen in death of Phila. man,"Sapatkin, Don. 
",2017-06-22,proquest.com/docview/1912364307/fulltext/4C66B446237042A3PQ/3
1770,Sam Elliott as someone like him,"Thompson, Gary. 
",2017-06-23,proquest.com/docview/1912797231/fulltext/8C1213CA0E27448EPQ/46
1771,Philly crucial for Coltrane: Film puts the focus on jazz star's formative years.,"Thompson, Gary. 
",2017-06-23,proquest.com/docview/1912799588/fulltext/8C1213CA0E27448EPQ/48
1772,Of the Community?: Critics say Congreso leadership out of touch.,"Russ, Valerie. 
",2017-06-24,proquest.com/docview/1913562373/fulltext/694ECB2A8D8743B9PQ/10
1773,"'WE ARE PLAYING WITH FIRE': While trying to stay clean, pair still drawn to Kensington.","Newall, Mike. 
",2017-06-25,proquest.com/docview/1913562107/fulltext/302C1A0C539C4F89PQ/6
1774,Mix Picks,"DeLuca, Dan. 
",2017-06-25,proquest.com/docview/1913562259/fulltext/302C1A0C539C4F89PQ/47
1775,"Looking back at Wyeth's world: In a new exhibition, the Brandywine museum offers more than we knew about the artist.","Hine, Thomas. 
",2017-06-25,proquest.com/docview/1913562326/fulltext/302C1A0C539C4F89PQ/51
1776,Desperate addicts 'hijacked' to Fla.: Desperate addicts are 'hijacked' to Fla.,"Lubrano, Alfred. 
",2017-06-26,proquest.com/docview/1913562333/fulltext/199EC418AAC048A5PQ/2
1777,Pa. officials defend choice of a pot grower,"Couloumbis, Angela; Wood, Sam. 
",2017-06-27,proquest.com/docview/1913995531/fulltext/9BCE7783CFEC4610PQ/24
1778,"Pa. plan toughens parole punishments: ""Swift and certain"" approach has doubters.","Melamed, Samantha. 
",2017-06-27,proquest.com/docview/1913996696/fulltext/9BCE7783CFEC4610PQ/26
1779,"Pa. opioid-related hospitalizations soar: 1,775 pain-medication overdose admissions in 2016.","Sapatkin, Don. 
",2017-06-28,proquest.com/docview/1914381515/fulltext/E6B11FB3E39C4429PQ/5
1780,"Some who lost bid to grow in Pa. are fuming: Should the shut-outs sue, patients may have to wait longer for the product.","Wood, Sam. 
",2017-06-29,proquest.com/docview/1914681508/fulltext/E5212D97D140426BPQ/3
1781,Bankrupt health system has $10M bid,"Brubaker, Harold. 
",2017-06-29,proquest.com/docview/1914681396/fulltext/E5212D97D140426BPQ/4
1782,Pa. announces dispensary sites; four in Philadelphia: Pa. announces dispensary sites; 4 in Phila.,"Wood, Sam. 
",2017-06-30,proquest.com/docview/1914916276/fulltext/41B08194B5DE4F0BPQ/2
1783,"Pa. Senate moves on budget, not new revenue: Legislators do not have an agreement on how to pay for the 2017-18 fiscal year's $31.9 billion spending plan.","Langley, Karen; Couloumbis, Angela. 
",2017-06-30,proquest.com/docview/1914916350/fulltext/41B08194B5DE4F0BPQ/15
1784,Catching fireworks: Lots of places to have a holiday blast - or two.,"Hitt, Tarpley. 
",2017-06-30,proquest.com/docview/1914916317/fulltext/41B08194B5DE4F0BPQ/42
1785,Dispensary site is opposed,"Wood, Sam. 
",2017-07-01,proquest.com/docview/1915423760/fulltext/D1DE18F3552C4EEDPQ/18
1786,Guilty plea in drag-race case: The crash killed three friends and critically injured a fourth. Sentence: 11 to 25 years.,"Slobodzian, Joseph A. 
",2017-07-01,proquest.com/docview/1915423859/fulltext/D1DE18F3552C4EEDPQ/19
1787,HOPE AMID HEROIN CRISIS: SEEING THE CRISIS' CENTER A bird's-eye view of epidemic,"Newall, Mike. 
",2017-07-02,proquest.com/docview/1915422797/fulltext/4801E946E75F4BC9PQ/9
1788,The Rehab of Methadone,"Sapatkin, Don. 
",2017-07-02,proquest.com/docview/1915421717/fulltext/4801E946E75F4BC9PQ/43
1789,Overdose by touch called unlikely: Experts say concern about fentanyl toxicity by contact may be overblown.,"McCullough, Marie. 
",2017-07-03,proquest.com/docview/1915422004/fulltext/FCEE7EB824664B37PQ/2
1790,Opioid epidemic: Addiction increases outpacing treatment efforts.,"Sapatkin, Don. 
",2017-07-03,proquest.com/docview/1915421201/fulltext/FCEE7EB824664B37PQ/6
1791,"Pa. pot dispensaries won't reek of weed: The Pennsylvania law requires that ""smokables"" can't be sold and that the raw material be grown elsewhere. Warehouse","Wood, Sam. 
",2017-07-04,proquest.com/docview/1916036670/fulltext/85E798AF65944989PQ/9
1792,"This addict says legalizing pot is a bad idea: Legal pot isn't a good idea, says this addict","Riordan, Kevin. 
",2017-07-04,proquest.com/docview/1916036038/fulltext/85E798AF65944989PQ/17
1793,"'Snowfall' and 'GLOW,' both set in '80s L.A., both riveting","Gray, Ellen. 
",2017-07-04,proquest.com/docview/1916035740/fulltext/85E798AF65944989PQ/21
1794,"Ice Cube on 'Death Certificate,' Schoolly D","Amorosi, A D. 
",2017-07-04,proquest.com/docview/1916036574/fulltext/85E798AF65944989PQ/22
1795,Where to go to catch fireworks,"Hitt, Tarpley. 
",2017-07-04,proquest.com/docview/1916036807/fulltext/85E798AF65944989PQ/26
1796,"Excuse us, Mr. President - a grandparent's bond is real","Polaneczky, Ronnie. 
",2017-07-06,proquest.com/docview/1916556483/fulltext/E80557AA071F42F7PQ/13
1797,"U.S. prescriptions drop, but region's rates higher: THE OPIOID EPIDEMIC","Sapatkin, Don. 
",2017-07-07,proquest.com/docview/1916873487/fulltext/E67BE3B72FF44265PQ/3
1798,Man charged after infant overdoses: Police gave the baby Narcan after finding her with a needle in her leg.,"Palmer, Chris. 
",2017-07-07,proquest.com/docview/1916872498/fulltext/E67BE3B72FF44265PQ/15
1799,"'Cathedral' to Drug Den: In grip of addiction, they turned a former church into a grim sanctuary.","Newall, Mike. 
",2017-07-09,proquest.com/docview/1917547929/fulltext/FA622EE95FBC4CCCPQ/1
1800,Preaching From Life: Pastors have known the drug life themselves,"Holmes, Kristin E. 
",2017-07-10,proquest.com/docview/1917547327/fulltext/4AC2E3F35B24DCEPQ/9
1801,Heroin gulch cleanup: Not early,"Terruso, Julia. 
",2017-07-11,proquest.com/docview/1917783089/fulltext/1870CAF6BB34419FPQ/15
1802,GRIM DISCOVERY: Remains of one man identified as search continues.,"McDaniel, Justine; McCrystal, Laura; Slobodzian, Joseph A. 
",2017-07-13,proquest.com/docview/1918698821/fulltext/4E879AA97A4348D8PQ/3
1803,Key figure in case termed 'unstable',"Shaw, Colt; McDaniel, Justine. 
",2017-07-13,proquest.com/docview/1918698910/fulltext/4E879AA97A4348D8PQ/4
1804,Feldman and his Angels have no time for 'haters',"Vadala, Nick. 
",2017-07-13,proquest.com/docview/1918699672/fulltext/4E879AA97A4348D8PQ/46
1805,ANGUISH IN BUCKS COUNTY: Cosmo DiNardo confesses,"McDaniel, Justine; McCrystal, Laura; McCarthy, Erin. 
",2017-07-14,proquest.com/docview/1919025035/fulltext/E389BF3793FB4AABPQ/1
1806,"In group chat, DiNardo was unfazed","Shaw, Colt. 
",2017-07-14,proquest.com/docview/1919588749/fulltext/E389BF3793FB4AABPQ/3
1807,"Opioid aid just part of their worry: For some, added dollars won't fill gap if other Medicaid service lost.","Sapatkin, Don. 
",2017-07-14,proquest.com/docview/1919025489/fulltext/E389BF3793FB4AABPQ/5
1808,"Cadaver dogs' daunting tasks: How do they do it? Training is everything - and it's not pretty, say their handlers.","Schaefer, Mari A. 
",2017-07-14,proquest.com/docview/1919025025/fulltext/E389BF3793FB4AABPQ/6
1809,"Feds: 'Narcoboss' nabbed: Henry Koffie, 32, of Darby, is charged with using the online dark web and the Postal Service for a fentanyl business.","Wood, Sam. 
",2017-07-14,proquest.com/docview/1919025239/fulltext/E389BF3793FB4AABPQ/15
1810,Feds: Pa.-based 'Narcoboss' nabbed: Henry Koffie is accused of using the USPS for fentanyl sales.,"Wood, Sam. 
",2017-07-14,proquest.com/docview/1919025094/fulltext/E389BF3793FB4AABPQ/30
1811,"Gruesome details, still more questions: Officials spell out how drug deals led to killings. But answering why, DA says, might never be known.","McCrystal, Laura; McDaniel, Justine. 
",2017-07-16,proquest.com/docview/1919824767/fulltext/654A179EACAB45A5PQ/1
1812,"Camden may be key to easing pot laws: Wanting to legalize recreational use, activists hope the city can be in the forefront of a decriminalization push.","Hefler, Jan. 
",2017-07-16,proquest.com/docview/1919824775/fulltext/654A179EACAB45A5PQ/6
1813,"In desperate times, craving an answer: It's time to give safe-injection sites a try","Newall, Mike. 
",2017-07-16,proquest.com/docview/1919824499/fulltext/654A179EACAB45A5PQ/8
1814,Another man missing in Bucks,"Shaw, Julie. 
",2017-07-16,proquest.com/docview/1919823466/fulltext/654A179EACAB45A5PQ/13
1815,THE OPIOID EPIDEMIC: Shock and Empathy,"Glatsky, Genevieve. 
",2017-07-18,proquest.com/docview/1919824207/fulltext/F36662379A7B4DD3PQ/1
1816,"As needle cleanup to begin, questions on public's safety: From children in parks to work crews handling trash, how much of a health risk are syringes?","Giordano, Rita. 
",2017-07-18,proquest.com/docview/1919824231/fulltext/F36662379A7B4DD3PQ/3
1817,'Roseanne' To Return To a Changed Nation: Will today's working class recognize her?,"Lubrano, Alfred. 
",2017-07-18,proquest.com/docview/1919824190/fulltext/F36662379A7B4DD3PQ/4
1818,"Season hinges on five players: Curry, Johnson, Cox, Ertz, and, yes, Agholor must exceed expectations.","Ford, Bob. 
",2017-07-18,proquest.com/docview/1919824210/fulltext/F36662379A7B4DD3PQ/33
1819,Doctor and ex-lifeguard among drug bust arrests: An Essex County internist allegedly wrote prescriptions for tens of thousands of pills that were resold.,"Burke, Michael; Rosenberg, Amy S. 
",2017-07-20,proquest.com/docview/1922530669/fulltext/C0B29E1B7907437DPQ/8
1820,"Man arrested in carfentanil death: The drug is 10,000 times more powerful than heroin, the Chesco coroner said.","Giordano, Rita. 
",2017-07-20,proquest.com/docview/1922530155/fulltext/C0B29E1B7907437DPQ/16
1821,"Esperanza Spalding dazzles with orchestra, youth group","Stearns, David Patrick. 
",2017-07-20,proquest.com/docview/1922530607/fulltext/C0B29E1B7907437DPQ/19
1822,Tour de France's make-or-break stage is must-see TV: It should be high drama in the high Alps as the three-week marathon nears its finish.,"Ford, Bob. 
",2017-07-20,proquest.com/docview/1922530553/fulltext/C0B29E1B7907437DPQ/26
1823,"New DA: Lift cloud: Kelley Hodge, in for 5 1/2 months, says she keeps her sense of calm.","Brennan, Chris. 
",2017-07-22,proquest.com/docview/1922760746/fulltext/A92CCA2836A84233PQ/13
1824,"After final sweep, police leave the DiNardo property: The 90-acre farm, alleged site of four murders, was released back to the parents of the accused.","McCrystal, Laura; McCarthy, Erin. 
",2017-07-22,proquest.com/docview/1922760716/fulltext/A92CCA2836A84233PQ/14
1825,"On every block, a different crew: Rather than a few ""big dons,"" Kensington's heroin markets are largely made up of many little players. That competition keeps prices low and purity high.","Palmer, Chris. 
",2017-07-23,proquest.com/docview/1922760187/fulltext/35704B61ACDE4F54PQ/2
1826,"Shining A Light On Others Lost: Many go missing, but few draw notice. For kin, it's a lonely limbo.","Polaneczky, Ronnie. 
",2017-07-23,proquest.com/docview/1922760157/fulltext/35704B61ACDE4F54PQ/10
1827,"Talking photography, sex workers, and respect with Ada Trillo","Melamed, Samantha. 
",2017-07-23,proquest.com/docview/1922760062/fulltext/35704B61ACDE4F54PQ/43
1828,Juvenile lifer's backers gather for 'community resentencing': Kempis Songster could be freed after serving nearly 30 years.,"Holmes, Kristin. 
",2017-07-24,proquest.com/docview/1922760648/fulltext/7F569F7E311A4F54PQ/7
1829,Education tour to start on Pa. medical cannabis,"Wood, Sam. 
",2017-07-24,proquest.com/docview/1922760396/fulltext/7F569F7E311A4F54PQ/16
1830,"Township 'blindsided' by pot-site permit: The company, backed by Chase Lenfest, will host a meeting Tuesday with the Reading-area community.","Wood, Sam. 
",2017-07-25,proquest.com/docview/1923134525/fulltext/C0DA9C02A21748DCPQ/7
1831,"Man gets a sentence of 35 to 70 years: William Nobblen, convicted of assaulting a police officer in a 2015 case, faces another assault charge in October.","Slobodzian, Joseph A. 
",2017-07-25,proquest.com/docview/1923134594/fulltext/C0DA9C02A21748DCPQ/14
1832,"Chefs discuss overcoming hardship: The Free Library conference featured Eli Kulp, paralyzed in 2015 Amtrak derailment.","Melamed, Samantha. 
",2017-07-26,proquest.com/docview/1923494539/fulltext/E99BA8CEAAE84CDCPQ/10
1833,$50M question:Master cyberthief - or a liar?,"Roebuck, Jeremy. 
",2017-07-27,proquest.com/docview/1923869242/fulltext/D0253E37997141BFPQ/1
1834,FIGHTING WORDS: President's call for ban draws widespread condemnation from elected officials and veterans in the Philadelphia region. Trump's call seen as setback after openings in military,"Boren, Michael; Whelan, Aubrey. 
",2017-07-27,proquest.com/docview/1923869165/fulltext/D0253E37997141BFPQ/2
1835,How Pa. doctors will handle medical pot: Getting physicians to sign up will be a key to the program's success. A training course is mandatory.,"Wood, Sam. 
",2017-07-27,proquest.com/docview/1923868891/fulltext/D0253E37997141BFPQ/7
1836,S. Phila. doctor guilty of conspiring to sell opioids: Prosecutors say Azad Khan dispensed drugs to hundreds of people without the required tests and physical exams.,"Avril, Tom. 
",2017-07-27,proquest.com/docview/1923869037/fulltext/D0253E37997141BFPQ/16
1837,Case will go forward in alleged bitcoin heist,"Roebuck, Jeremy. 
",2017-07-28,proquest.com/docview/1924171627/fulltext/327FCD7EC326425BPQ/10
1838,"Drug deaths up 30 pct. in city; rural rates spike: Phila.'s rate, the state's worst in 2015, fell to fifth last year, as other counties gained, fueled in part by fentanyl.","McDaniel, Justine. 
",2017-07-28,proquest.com/docview/1924171703/fulltext/327FCD7EC326425BPQ/12
1839,Phila. drug deaths up 30 pct.; rural rates spike,"McDaniel, Justine. 
",2017-07-28,proquest.com/docview/1924172000/fulltext/327FCD7EC326425BPQ/38
1840,Another N.J. pot center on way: The state gave Harmony Foundation approval to grow medical marijuana in Secaucus by year's end.,"Wood, Sam. 
",2017-07-29,proquest.com/docview/1924710226/fulltext/EDA05BE203084E9CPQ/3
1841,"IN DRUG'S GRIP: Life on the streets is spiraling, but a couple find no escape. HUSTLING FOR A FIX","Newall, Mike. 
",2017-07-30,proquest.com/docview/1924709804/fulltext/A82B175C5AFF478CPQ/2
1842,"A crucial juncture: Philly rapper Meek Mill comes back strong with a new album, after a high-profile feud and a breakup.","DeLuca, Dan. 
",2017-07-30,proquest.com/docview/1924708524/fulltext/A82B175C5AFF478CPQ/47
1843,"RIDING THE RAILS: Cleanup planned for Conrail tracks What next for addicts, homeless pushed from encampment near Conrail tracks?","Sapatkin, Don. 
",2017-07-31,proquest.com/docview/1924710239/fulltext/B55031C6C0CC46BBPQ/3
1844,Man killed after cooperating with authorities in drug case: Sources say police are investigating whether Anthony Reaves' help in trafficking case led to his slaying.,"Palmer, Chris; Roebuck, Jeremy. 
",2017-08-02,proquest.com/docview/1925353134/fulltext/59E442F9A774339PQ/20
1845,"'A Little Bit of Hope': Art won't cure addiction, but a distraction and a kind encounter could make a difference in the lives of some Kensington residents.","Melamed, Samantha. 
",2017-08-04,proquest.com/docview/1925974177/fulltext/9C2D50FA24CC4037PQ/1
1846,"N.J. medical marijuana panel says to add 43 uses: The conditions include migraines, anxiety, Alzheimer's, and autism. The panel's recommendations face a lengthy process of further review.","Hefler, Jan. 
",2017-08-04,proquest.com/docview/1925974436/fulltext/9C2D50FA24CC4037PQ/13
1847,New hope for 'Guys and Dolls',"Timpane, John. 
",2017-08-04,proquest.com/docview/1925974245/fulltext/9C2D50FA24CC4037PQ/47
1848,City needs a safe place for heroin use,"Newall, Mike. 
",2017-08-06,proquest.com/docview/1926826839/fulltext/D96E426A08274EB4PQ/10
1849,Charismatic catcher led way for '93 NL champs: DARREN DAULTON | 1962-2017,"Fitzpatrick, Frank. 
",2017-08-07,proquest.com/docview/1926827858/fulltext/3DCEB12FF8BE4729PQ/1
1850,"Green-Thumb Gigs: As the pot business gains ground, college graduates with a passion for plants are being widely welcomed at growing companies.","McDaniel, Justine. 
",2017-08-08,proquest.com/docview/1927064578/fulltext/8E1E46849B3543CAPQ/3
1851,"Study: Opioid deaths here go uncounted: CDC data for Pa., N.J. said to severely underestimate number of fatalities.","Sapatkin, Don. 
",2017-08-08,proquest.com/docview/1927064711/fulltext/8E1E46849B3543CAPQ/4
1852,"Killing suspect is still elusive: Police hope a $7,500 reward for Derrick Rollins' capture will lead to his arrest.","Phillips, Nancy. 
",2017-08-08,proquest.com/docview/1927064746/fulltext/8E1E46849B3543CAPQ/10
1853,"Are Phils' brain cancer deaths related?: Expert: No proof of a common cause for diseases that killed Daulton, McGraw, Vukovich and Oates.","Avril, Tom. 
",2017-08-08,proquest.com/docview/1927064552/fulltext/8E1E46849B3543CAPQ/35
1854,"Saving people from overdosing, one at a time: 34 lives saved, and counting","Newall, Mike. 
",2017-08-09,proquest.com/docview/1927347564/fulltext/FFAFCA448F144F14PQ/3
1855,Trump aides: Opioids no emergency: But the HHS secretary said the necessary resources could be deployed anyway.,"Whelan, Aubrey; Sapatkin, Don. 
",2017-08-09,proquest.com/docview/1927347524/fulltext/FFAFCA448F144F14PQ/4
1856,Survey: Use of opioids common in Phila.: A third of city residents report using prescription pain killers in past year.,"Sapatkin, Don. 
",2017-08-10,proquest.com/docview/1927707745/fulltext/936CC3D660514148PQ/2
1857,"Opioid crisis 'truly getting worse': East Brunswick funeral director, tired of seeing drug fatalities, posts message about addiction epidemic.","Boyer, Barbara. 
",2017-08-10,proquest.com/docview/1927707831/fulltext/936CC3D660514148PQ/16
1858,"Police had accused killer many times, but he walked: A judge dismissed his most recent case after officers failed to appear.","Phillips, Nancy; Bender, William. 
",2017-08-11,proquest.com/docview/1927908561/fulltext/F48B4AF34E47434CPQ/1
1859,"Trump now to declare a national opioid crisis: Days after the administration said it wouldn't declare an emergency, he promised a major effort, backing the recommendation of a Christie panel.","Whelan, Aubrey; Sapatkin, Don. 
",2017-08-11,proquest.com/docview/1927908735/fulltext/F48B4AF34E47434CPQ/6
1860,Shut out as grower of medical pot in Pa.: Scoring put oilman's application last.,"Wood, Sam. 
",2017-08-11,proquest.com/docview/1927908215/fulltext/F48B4AF34E47434CPQ/10
1861,"Homeless convict now an award-winner: Mary Baxter is using the hardships she's faced to inspire her art and music, and it's paying off.","Heinzerling, Kelly. 
",2017-08-11,proquest.com/docview/1927908551/fulltext/F48B4AF34E47434CPQ/22
1862,Ironstone wins bankruptcy auction for NPHS,"Brubaker, Harold. 
",2017-08-12,proquest.com/docview/1928583759/fulltext/99B178773B7645F9PQ/4
1863,Accused killer has a history of violence,"McCarthy, Erin. 
",2017-08-12,proquest.com/docview/1928583763/fulltext/99B178773B7645F9PQ/7
1864,"Eulogy Belgian Tavern in Old City is shuttered: Owner cites some employees' drug issues, crimes and related threats, says, ""It's just not worth it anymore.""","Klein, Michael; Terruso, Julia. 
",2017-08-12,proquest.com/docview/1928584744/fulltext/99B178773B7645F9PQ/11
1865,South Park turns 20: The best episode from each season,"Vadala, Nick. 
",2017-08-13,proquest.com/docview/1928942982/fulltext/8EBA3481ACAD454FPQ/36
1866,"Fertile ground for vineyard owners: At this special summer camp, novice grape growers dig deep to transition into bona fide wine makers.","Kummer, Frank. 
",2017-08-14,proquest.com/docview/1928582619/fulltext/FAC7EAD949B34306PQ/8
1867,Politicians fight pot dispensary: A hearing is Tuesday on the proposed East Mount Airy distribution site.,"Wood, Sam. 
",2017-08-15,proquest.com/docview/1928942900/fulltext/FC3C0B25C58547CEPQ/11
1868,Longtime activist against far right calls Va. clash 'most intense' he's seen,"Whelan, Aubrey. 
",2017-08-16,proquest.com/docview/1929260857/fulltext/5351A5FBA8264E02PQ/1
1869,Couple accused of forcing teen to work as prostitute,"Boyer, Barbara. 
",2017-08-16,proquest.com/docview/1929260840/fulltext/5351A5FBA8264E02PQ/12
1870,A Summer Safe Space: Helping children who have seen too much,"Graham, Kristen A. 
",2017-08-16,proquest.com/docview/1929258624/fulltext/5351A5FBA8264E02PQ/15
1871,E. Mt. Airy residents protest marijuana dispensary plan,"Wood, Sam. 
",2017-08-16,proquest.com/docview/1929260799/fulltext/5351A5FBA8264E02PQ/17
1872,Sales of hospital's properties to get OK: A bankruptcy judge said she approved of plan for N. Phila. Health System.,"Brubaker, Harold. 
",2017-08-16,proquest.com/docview/1929261377/fulltext/5351A5FBA8264E02PQ/23
1873,"OD deaths rise among older adolescents: Parents told to be on the alert for behavioral, other changes.","Sapatkin, Don. 
",2017-08-17,proquest.com/docview/1929554016/fulltext/176C8E64E6A346FEPQ/3
1874,"Tiny-Home Movement: Micro-units are trendy, but will future generations want them? Developers answer demand for tiny housing","McCabe, Caitlin. 
",2017-08-20,proquest.com/docview/1931064308/fulltext/4DC8CD7BAE6E4306PQ/60
1875,America's Funnyman: The antic comic and innovative filmmaker was a popular and polarizing show-biz icon.,"Rickey, Carrie. 
",2017-08-21,proquest.com/docview/1930627681/fulltext/54B3DF468F504917PQ/1
1876,"Lawyers bullish on cannabis despite risk: Philly firms have created practices to serve dispensaries, growers, and others as Pa. gears up for medical marijuana.","Wood, Sam. 
",2017-08-22,proquest.com/docview/1931064178/fulltext/37B8EADF7BDA432EPQ/6
1877,"Study: ODs don't deter many abusers: ""We had hoped to see a greater response,"" senior author said.","Sapatkin, Don. 
",2017-08-23,proquest.com/docview/1931435818/fulltext/DDF5A4AF99804648PQ/6
1878,"Attorney: Ex-officer gave drugs for sex: Former narcotics cop Stanley Davis, who retired in May, faces up to 20 years in prison.","Roebuck, Jeremy. 
",2017-08-25,proquest.com/docview/1933240025/fulltext/30708DF71F0E4645PQ/11
1879,Couple charged in murder-for-hire plot: The two allegedly acquired a hit man's number but were actually talking with an undercover cop.,"McCarthy, Erin. 
",2017-08-26,proquest.com/docview/1933022125/fulltext/7522D761508349D9PQ/6
1880,"A family's opioid crisis: Years before national attention, addiction claimed my brother's life.","Newall, Mike. 
",2017-08-27,proquest.com/docview/1933020581/fulltext/3EF77F850C584D87PQ/4
1881,Split-family oversight a challenge for DHS: A March case renewed concerns about supervising children in homes where siblings have been removed. CITY SERVICES,"Terruso, Julia. 
",2017-08-28,proquest.com/docview/1933015810/fulltext/F2C93A4722DF4A5BPQ/1
1882,"EPA cuts would hurt area waters, report says: Budget plan is said to put Delaware River cleanup in jeopardy.","Kummer, Frank. 
",2017-08-30,proquest.com/docview/1933762662/fulltext/A2041D642FAF4426PQ/3
1883,Hospital costs rise along with overdose care: Pa. intensive care admissions nearly doubled between 2009-15 due to heroin treatment.,"Sapatkin, Don. 
",2017-08-30,proquest.com/docview/1933772191/fulltext/A2041D642FAF4426PQ/4
1884,"'Nova coach was colorful, feisty - and a winner: Coach beat odds and won it all","Fitzpatrick, Frank. 
",2017-08-31,proquest.com/docview/1934100921/fulltext/DF1AC66278DC40DCPQ/1
1885,Bensalem eyes opioid suit: The township would be the first in the area to try to recoup from drugmakers millions spent fighting drug epidemic.,"Sapatkin, Don. 
",2017-08-31,proquest.com/docview/1934100673/fulltext/DF1AC66278DC40DCPQ/9
1886,"Growing Like a Weed Again: Once a common Pa. crop, industrial hemp is making a comeback","Wood, Sam. 
",2017-09-01,proquest.com/docview/1934416512/fulltext/310A1AF4E7244EBFPQ/8
1887,How a garden cultivated my sense of purpose,"Volpe, Allie. 
",2017-09-01,proquest.com/docview/1934415330/fulltext/310A1AF4E7244EBFPQ/28
1888,E. Mount Airy prevails: No marijuana dispensary,"Wood, Sam. 
",2017-09-02,proquest.com/docview/1935610520/fulltext/C3BF2A5933A432BPQ/4
1889,A Cleaner View: Gurney Street track area overhauled,"Palmer, Chris. 
",2017-09-02,proquest.com/docview/1935613441/fulltext/C3BF2A5933A432BPQ/9
1890,"The informant and the deadly ambush: Linked to selling drugs, he cooperated to nab others. Less than an hour after leaving court, he was dead. RISKY CONNECTIONS | AN INVESTIGATION","Palmer, Chris; Roebuck, Jeremy. 
",2017-09-03,proquest.com/docview/1936688480/fulltext/270A5167C16C4833PQ/2
1891,"At march, putting grief into action: Marching for those lost to addiction","Newall, Mike. 
",2017-09-03,proquest.com/docview/1936688418/fulltext/270A5167C16C4833PQ/6
1892,"Body is found; confession reported: Charges are pending against N. Phila. man who police say admitted to ""elements of the crime"" in student's death.","Bond, Michaelle; Gambacorta, David; Lai, Jonathan; Palmer, Chris. 
",2017-09-03,proquest.com/docview/1936688340/fulltext/270A5167C16C4833PQ/7
1893,"Pot outlets will need new homes: Tax demand, zoning change force two dispensaries out.","Wood, Sam. 
",2017-09-06,proquest.com/docview/1936026931/fulltext/27B87B04A1AF4314PQ/16
1894,"Source: Lyft car carried student's body: Joshua Hupperterz used ride-hailing service to carry Jenna Burleigh's body more than 100 miles, police source said.","Palmer, Chris; Shaw, Julie. 
",2017-09-06,proquest.com/docview/1936027185/fulltext/27B87B04A1AF4314PQ/18
1895,"'I am a savage,' DiNardo wrote: Facebook postings show the alleged killer's life unraveling. BUCKS SLAYINGS","McCrystal, Laura. 
",2017-09-07,proquest.com/docview/1936362014/fulltext/714E37DB6ECF4E49PQ/1
1896,"Mixed response to Islamic group's clinic: The plan for a site in the Northeast draws out some fear, but also has many welcoming it.","Boren, Michael. 
",2017-09-07,proquest.com/docview/1936362173/fulltext/714E37DB6ECF4E49PQ/16
